"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","4","5","6","7","8","9","10","11","12","1","2","3","square"
"232",326226652,88,14,34973,93.5106951871658,10,5,6,21,40,3,2,2,3,0,4,2,0,"r3c1"
"233",326226653,67,15,23290,71.441717791411,9,4,6,19,29,1,1,1,0,0,5,1,0,"r3c1"
"234",326262783,1,3,54,18,1,0,0,0,0,0,0,1,0,0,0,0,0,"r3c1"
"235",326262793,46,9,4914,26.8524590163934,3,0,0,19,24,0,0,0,3,0,0,0,0,"r3c1"
"236",326262794,7,5,1050,30,1,0,0,0,7,0,0,0,0,0,0,0,0,"r3c1"
"237",326262795,1,1,30,30,1,0,0,0,0,0,0,1,0,0,0,0,0,"r3c1"
"238",326262796,2,7,345,43.125,2,0,0,0,0,0,0,1,0,0,1,0,0,"r3c1"
"239",326262821,1,4,480,120,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"240",326298915,1,1,5,5,1,0,0,0,0,0,0,0,0,0,1,0,0,"r3c1"
"241",326298916,2,7,87,9.66666666666667,1,0,0,0,0,0,0,0,0,0,2,0,0,"r3c1"
"242",326298933,1,6,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"243",326335073,6,8,942,44.8571428571429,3,1,4,0,1,0,0,0,0,0,0,0,0,"r3c1"
"244",326407350,1,5,55,11,1,0,0,0,0,0,0,1,0,0,0,0,0,"r3c1"
"245",326443464,1,7,63,9,1,0,0,0,0,0,0,0,0,0,1,0,0,"r3c1"
"246",326515765,10,14,3503,103.029411764706,5,4,0,2,2,0,0,0,1,0,1,0,0,"r3c1"
"247",326624181,215,14,55585,69.394506866417,12,7,15,45,59,7,6,15,24,3,13,9,12,"r3c1"
"248",326624182,64,12,14682,70.9275362318841,12,3,5,6,23,1,1,1,2,1,7,6,8,"r3c1"
"249",326624183,2,6,286,40.8571428571429,2,0,0,0,0,1,0,0,0,0,0,1,0,"r3c1"
"250",326660317,5,11,4664,133.257142857143,4,0,2,1,1,0,0,0,0,1,0,0,0,"r3c1"
"251",326660318,30,12,5949,57.7572815533981,11,0,5,1,3,2,1,6,4,2,1,3,2,"r3c1"
"252",326660319,79,10,17170,81.3744075829384,11,8,7,4,13,0,2,11,9,11,1,7,6,"r3c1"
"253",326660320,267,18,35972,60.3557046979866,12,8,18,65,13,16,6,23,39,15,28,20,16,"r3c1"
"254",326660321,47,13,4163,43.3645833333333,11,2,1,20,6,0,2,7,3,1,1,2,2,"r3c1"
"255",326696453,2,3,510,170,2,0,0,0,1,0,0,1,0,0,0,0,0,"r3c1"
"256",326696454,3,7,719,47.9333333333333,3,0,1,0,0,1,0,1,0,0,0,0,0,"r3c1"
"257",326696455,1,3,360,120,1,0,1,0,0,0,0,0,0,0,0,0,0,"r3c1"
"258",326696458,5,6,288,26.1818181818182,3,0,0,1,0,0,0,3,0,0,0,0,1,"r3c1"
"259",326696459,97,15,20259,107.190476190476,12,7,9,9,9,5,4,6,15,5,16,2,10,"r3c1"
"260",326732548,2,2,29,9.66666666666667,2,0,0,0,0,0,1,0,0,0,1,0,0,"r3c1"
"261",326732549,3,6,535,48.6363636363636,1,0,0,0,0,0,3,0,0,0,0,0,0,"r3c1"
"262",326732550,1,6,18,3,1,0,0,0,0,0,0,0,0,0,1,0,0,"r3c1"
"263",326732551,1,3,9,3,1,0,0,0,0,0,0,0,0,0,1,0,0,"r3c1"
"264",326732597,1,1,68,68,1,0,1,0,0,0,0,0,0,0,0,0,0,"r3c1"
"265",326768688,1,3,138,46,1,0,0,0,0,0,0,0,0,0,1,0,0,"r3c1"
"266",326768727,3,6,427,32.8461538461538,1,0,0,0,0,0,0,0,0,0,3,0,0,"r3c1"
