"X","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","X6","X7","X8","X9","X11","X5","X10","X3","X4","X2","X1","X12","square"
52473,431951216,530,367,767256,100.439324518916,12,32,35,37,46,29,117,33,61,48,36,44,12,"r3c2"
299750,178469560,5268,366,24906855,125.041317542635,12,146,334,642,534,596,348,590,372,537,216,515,438,"r2c1"
344244,186948819,5580,366,30920823,152.458264921234,12,119,211,383,171,424,576,199,889,899,626,654,429,"r2c1"
305327,253160672,4552,366,15317578,135.221119723159,12,8,35,29,57,1583,12,2229,3,7,15,19,555,"r2c2AA"
321668,280330790,410,366,979377,117.628753302907,12,31,9,14,28,108,33,53,26,20,15,37,36,"r2c2AA"
173106,307429040,939,366,7707418,170.333443833013,12,67,93,85,56,105,55,65,74,46,114,106,73,"r2c2ABA"
317705,278237945,618,365,1768974,125.068863122172,12,56,28,36,24,41,31,45,80,30,64,75,108,"r2c2AA"
163318,284408446,760,365,1546606,97.577665615142,12,40,61,15,2,42,26,62,171,53,127,89,72,"r2c2ABA"
53,324784238,1734,365,5599889,142.770542793769,12,97,204,149,81,187,107,154,150,57,244,143,161,"r3c2"
375403,194527474,4560,364,25931504,172.878998386645,12,26,22,102,211,107,439,642,334,2467,77,93,40,"r2c1"
378257,195104738,7548,364,14430186,104.801228838486,12,37,53,81,103,139,604,176,349,5515,119,174,198,"r2c1"
395115,209464831,7493,364,22547287,134.928859100566,12,88,54,79,177,1325,207,329,1188,1155,1000,1023,868,"r2c1"
131739,315475569,355,364,2000446,154.833281733746,12,9,10,21,10,18,57,35,44,58,23,25,45,"r2c2ABB"
328300,286284656,787,363,2610180,138.588722523097,12,48,64,27,34,53,52,69,138,72,71,102,57,"r2c2AA"
100301,156210592,10541,363,17094210,77.3976962990465,12,149,182,395,1818,532,2087,2790,403,729,302,746,408,"r2c2ABB"
77208,205259684,1140,363,6623483,127.470275783761,12,7,5,27,43,75,14,377,155,32,148,129,128,"r2c3"
383301,196656193,2071,362,4356731,96.4177178772186,12,84,62,78,137,179,139,210,250,464,122,192,154,"r2c1"
83991,146865692,5531,362,16644209,125.797059935001,12,201,208,472,409,620,721,479,445,592,464,597,323,"r2c2ABB"
23696,381939155,307,362,903488,147.725310660562,12,20,65,94,20,3,13,3,7,4,25,49,4,"r3c2"
301113,245944345,2133,361,5175399,87.1352639111036,12,58,32,24,38,187,103,75,507,133,386,325,265,"r2c2AA"
20089,203565476,490,361,2105444,133.045434439179,10,1,0,0,1,65,7,14,144,44,72,72,70,"r2c4"
284,325072885,828,361,2880100,146.48797111032,12,47,30,45,40,72,42,62,51,76,88,121,154,"r3c2"
391088,203331071,2785,360,3511885,66.8904994095463,12,26,24,53,110,154,372,126,236,1335,126,150,73,"r2c1"
94718,150148985,2317,360,9259968,151.586556877895,12,80,69,127,360,202,354,295,116,176,154,191,193,"r2c2ABB"
123206,300970515,568,360,3338750,174.274454535964,12,26,42,33,47,62,58,27,45,28,42,82,76,"r2c2ABB"
129858,307429888,260,360,996330,150.753517930095,11,1,0,2,1,31,23,12,21,15,49,56,49,"r2c2ABB"
12063,350077848,376,360,1705823,163.533985236315,12,31,26,41,20,64,35,48,15,14,32,19,31,"r3c2"
31159,397960885,692,360,3544153,148.489735210323,12,49,145,175,113,14,14,138,8,8,3,18,7,"r3c2"
292040,177315439,5976,359,5410445,61.0349709515483,12,107,195,151,139,1040,469,537,597,678,554,744,765,"r2c1"
385391,197774688,4089,359,8333239,106.115357188336,12,31,35,162,305,134,442,436,452,1818,54,110,110,"r2c1"
317830,278274092,653,359,1825303,106.961793143862,12,18,28,19,10,75,29,47,117,42,116,86,66,"r2c2AA"
319896,279500898,1099,359,4429386,139.3502170767,12,56,39,105,99,111,96,229,42,92,47,76,107,"r2c2AA"
325303,282928640,831,359,1931560,158.884593238463,12,43,42,45,49,73,43,48,106,71,110,117,84,"r2c2AA"
172513,305588942,770,359,2739700,137.915932544677,12,36,26,49,58,92,37,149,61,50,54,58,100,"r2c2ABA"
378430,195140820,3309,358,4598669,80.2700122185373,12,22,20,21,28,22,389,49,166,2438,52,53,49,"r2c1"
315908,276758521,548,358,1839761,148.535523978686,12,43,39,44,61,33,66,23,35,52,47,42,63,"r2c2AA"
112100,239970401,1408,358,8523980,150.992507041256,12,43,44,52,111,216,29,248,140,32,175,154,164,"r2c3"
16796,364476148,93,358,480763,150.614974937343,7,17,38,9,10,0,1,14,4,0,0,0,0,"r3c2"
317221,277985370,593,357,852342,88.6471138845554,12,49,15,52,17,42,35,70,76,50,65,74,48,"r2c2AA"
260,325036803,1029,357,4739388,144.590518030386,12,80,107,65,102,88,81,79,73,88,79,70,117,"r3c2"
51462,430616122,711,357,3079580,148.807924619473,12,150,94,122,85,37,30,124,2,32,16,11,8,"r3c2"
74573,144086589,3616,356,21166879,166.331745994326,12,57,53,106,297,109,2040,188,129,370,93,74,100,"r2c2AA"
10306,344305157,136,356,315869,128.245635403979,12,7,18,18,17,15,18,9,4,6,6,14,4,"r3c2"
302507,248325634,1421,355,5489990,146.595193591455,12,76,45,60,25,100,104,78,180,132,159,271,191,"r2c2AA"
323623,281232744,568,355,944001,76.0738979772746,12,19,36,43,13,51,67,30,94,16,87,56,56,"r2c2AA"
325007,282567877,570,355,2192308,125.525794446035,12,23,19,47,36,33,43,49,57,31,89,95,48,"r2c2AA"
100275,156138430,8501,355,29156380,118.177425957676,12,134,75,621,1916,163,1968,2417,150,758,56,78,165,"r2c2ABB"
111975,275352445,2031,355,4272767,113.378097967415,12,86,126,94,56,194,73,79,309,63,429,200,322,"r2c2ABB"
2219,327743191,225,355,1099453,186.791199456337,12,13,33,26,6,23,34,27,10,14,17,8,14,"r3c2"
13838,354191347,269,355,731826,146.776173285199,12,11,9,12,16,59,12,22,12,64,20,27,5,"r3c2"
329140,286933785,643,354,3419535,161.871479289941,12,14,48,35,14,61,32,23,53,56,58,76,173,"r2c2AA"
135793,165447376,3969,354,12802632,131.816030888031,12,245,246,298,452,288,450,517,277,209,323,384,280,"r2c2ABA"
128091,305372796,457,354,688859,72.7796090861067,12,11,22,36,53,38,43,110,49,23,14,44,14,"r2c2ABB"
170007,322954990,215,354,947304,135.736351912882,12,5,26,6,10,26,2,34,25,8,33,13,27,"r2c3"
129010,306240066,305,353,787865,125.897251518057,12,2,8,2,23,27,2,56,34,5,54,51,41,"r2c2ABB"
131703,315114757,228,353,805132,128.287444231995,12,13,18,6,12,3,47,7,48,31,17,10,16,"r2c2ABB"
18277,369238376,69,353,685570,185.942500678058,7,7,32,9,13,3,4,0,1,0,0,0,0,"r3c2"
395838,209861842,5533,352,5785901,62.6247537612296,12,19,6,60,224,954,420,406,438,2706,59,88,153,"r2c1"
301594,246954577,2465,352,6727771,98.1654774932516,12,123,127,75,67,193,282,210,424,160,310,253,241,"r2c2AA"
319799,279464740,1163,352,4689923,116.545886036629,12,46,62,119,60,76,101,136,116,90,133,121,103,"r2c2AA"
323491,281124604,259,352,1976805,152.015149184866,12,11,26,5,14,20,21,24,33,23,18,46,18,"r2c2AA"
324958,282531784,1060,352,3754526,113.877039733091,12,17,22,25,5,46,32,29,270,69,236,255,54,"r2c2AA"
100262,156102348,3601,352,13791850,129.675056648834,12,120,49,476,855,118,321,1166,176,47,59,142,72,"r2c2ABB"
31771,399079412,896,352,3145381,124.722669415917,8,15,406,116,171,24,4,158,0,0,2,0,0,"r3c2"
240760,167897488,5590,351,30594504,144.153904869602,12,230,358,415,472,548,474,565,557,499,448,544,480,"r2c1"
295876,177891761,13685,351,61204285,118.943970040656,12,928,1180,1531,1582,1109,1190,1104,875,1267,931,1038,950,"r2c1"
317470,278129702,706,351,596148,64.3163232279642,12,26,30,9,36,76,50,75,64,36,66,166,72,"r2c2AA"
