"cell_5km_scale","number_checklists","total_SR","total_duration","avg_duration","no_months","X6","X8","X7","X9","X11","X5","X10","X2","X3","X4","X1","X12","square"
12992631,1921,412,7095702,149.688880450604,12,158,160,202,118,275,84,200,161,127,76,167,193,"r3c2"
15121815,203,412,834010,136.076031979116,11,15,15,22,48,12,25,30,1,0,20,5,10,"r3c2"
9838656,3520,411,10494893,109.719535399155,12,141,223,206,109,187,184,143,520,610,321,583,293,"r2c2AA"
11166630,622,411,2787238,128.455986726887,12,23,57,22,44,38,66,45,118,46,31,52,80,"r2c2AA"
12249676,554,411,1454893,127.020516850009,12,5,4,16,59,49,6,104,74,51,10,86,90,"r2c2ABB"
13586736,718,411,4321274,107.636286646574,12,34,55,38,62,62,55,62,86,74,58,86,46,"r3c3"
11238812,1918,410,2687139,81.8476135359873,12,122,102,95,119,137,176,215,244,211,102,282,113,"r2c2AA"
11246032,727,410,2845203,141.411679920477,12,34,51,36,23,71,56,109,48,151,81,30,37,"r2c2AA"
14003037,493,410,1997411,156.243038172716,12,57,44,39,27,76,44,65,44,16,21,25,35,"r3c2"
5984727,12566,408,15320262,75.2376279926335,12,644,667,767,720,1039,2006,671,1228,1160,1458,1371,835,"r2c1"
6136272,14195,408,14086894,67.1248778953688,12,930,973,898,1413,1492,1558,1565,825,1029,1694,904,914,"r2c1"
15186775,59,407,237370,148.634940513463,7,5,12,27,6,3,0,5,0,0,1,0,0,"r3c2"
8099279,10629,406,17380573,68.520792102628,12,273,407,298,524,844,802,586,1297,1266,2656,989,687,"r2c1"
9333165,1726,406,4156338,103.527984656388,12,49,20,59,48,184,52,110,246,231,133,336,258,"r2c1"
11253266,1169,406,2548015,108.476946655881,12,32,101,45,104,68,58,291,97,82,45,125,121,"r2c2AA"
11318201,1634,406,1947478,76.2550608872704,12,39,170,69,108,121,124,161,151,186,119,253,133,"r2c2AA"
11895715,1293,406,5245562,158.538459213588,12,118,87,118,60,181,114,83,145,105,47,111,124,"r2c2ABA"
6245028,16387,405,23741271,74.5553953987903,12,464,716,383,2448,911,3304,3903,496,684,1054,1139,885,"r2c2ABB"
8579704,5060,405,13592875,113.290007751098,12,37,46,40,144,891,94,661,371,422,364,573,1417,"r2c4"
14580714,143,405,537371,133.707638716099,7,24,10,48,34,0,2,17,0,8,0,0,0,"r3c2"
11246035,682,404,4238105,132.291952803097,12,57,19,56,28,51,70,86,39,93,48,67,68,"r2c2AA"
