"","term","value","urban2","estimate","p.value","s.value","conf.low","conf.high"
"1683","urban2","Urban","Urban",92.3761508038278,0,Inf,89.6278463073382,95.1659577306939
"1684","urban2","Natural","Natural",129.0028526187,0,Inf,127.602545977914,130.410800849637
"1685","urban2","Suburban","Suburban",107.759160068236,0,Inf,105.304122830092,110.24248659128
"1686","urban2","Urban","Urban",92.3509294535515,0,Inf,89.6154557120411,95.1275274905499
"1687","urban2","Natural","Natural",129.129986166974,0,Inf,127.728469465848,130.539150129229
"1688","urban2","Suburban","Suburban",105.774688994758,0,Inf,103.391836669031,108.184687965596
"1689","urban2","Urban","Urban",92.368285044167,0,Inf,89.5919334401704,95.1870007262682
"1690","urban2","Natural","Natural",128.804963015671,0,Inf,127.408319264639,130.209220065439
"1691","urban2","Suburban","Suburban",105.918861913049,0,Inf,103.522130191208,108.343021460553
"1692","urban2","Urban","Urban",93.9271448595657,0,Inf,91.1146787295068,96.7823603662607
"1693","urban2","Natural","Natural",129.070095733087,0,Inf,127.669469550693,130.478362998371
"1694","urban2","Suburban","Suburban",106.241820606466,0,Inf,103.795391897119,108.716745296901
"1695","urban2","Urban","Urban",93.8854194416594,0,Inf,91.1823448657707,96.6279768627314
"1696","urban2","Natural","Natural",127.972087889469,0,Inf,126.582408618475,129.369353837942
"1697","urban2","Suburban","Suburban",104.518433357305,0,Inf,102.122135783079,106.942520417167
"1698","urban2","Urban","Urban",91.0034940225641,0,Inf,88.2786607387464,93.7697432814142
"1699","urban2","Natural","Natural",128.770443911507,0,Inf,127.368257195464,130.180306712065
"1700","urban2","Suburban","Suburban",106.174241047847,0,Inf,103.825049833904,108.549712693507
"1701","urban2","Urban","Urban",92.6459475416387,0,Inf,89.8981995731546,95.4350583625562
"1702","urban2","Natural","Natural",128.424837224233,0,Inf,127.028643046558,129.828662430218
"1703","urban2","Suburban","Suburban",105.742504685047,0,Inf,103.395987018564,108.115350926497
"1704","urban2","Urban","Urban",93.0122275372499,0,Inf,90.190028339749,95.8779048068845
"1705","urban2","Natural","Natural",128.366978862777,0,Inf,126.972537016831,129.769035991274
"1706","urban2","Suburban","Suburban",105.581961172942,0,Inf,103.195109361757,107.996101650079
"1707","urban2","Urban","Urban",93.5323780137331,0,Inf,90.7986817137325,96.3066182482413
"1708","urban2","Natural","Natural",128.426073164514,0,Inf,127.037956536969,129.82173246645
"1709","urban2","Suburban","Suburban",104.73612371486,0,Inf,102.33727015886,107.162767859282
"1710","urban2","Urban","Urban",92.833085398079,0,Inf,90.0140486298323,95.6955871112008
"1711","urban2","Natural","Natural",128.613469885071,0,Inf,127.225257034969,130.009215406733
"1712","urban2","Suburban","Suburban",105.630355592451,0,Inf,103.204290184063,108.084605940852
"1713","urban2","Urban","Urban",93.5321861788233,0,Inf,90.761535161514,96.344493204865
"1714","urban2","Natural","Natural",129.257963103356,0,Inf,127.850751264544,130.672876975894
"1715","urban2","Suburban","Suburban",106.144223122871,0,Inf,103.691946828962,108.625159224901
"1716","urban2","Urban","Urban",94.1012593433713,0,Inf,91.3726704446997,96.8699918906117
"1717","urban2","Natural","Natural",128.648713288526,0,Inf,127.244039851547,130.061097464884
"1718","urban2","Suburban","Suburban",105.07470549854,0,Inf,102.714279161807,107.461946501396
"1719","urban2","Urban","Urban",93.0852000459534,0,Inf,90.2887784127145,95.9242691077826
"1720","urban2","Natural","Natural",128.893133204718,0,Inf,127.501772132017,130.292044739018
"1721","urban2","Suburban","Suburban",105.810272218867,0,Inf,103.369202453068,108.27982960037
"1722","urban2","Urban","Urban",91.9905825006566,0,Inf,89.3016534766361,94.719395951879
"1723","urban2","Natural","Natural",128.499125645999,0,Inf,127.098049098024,129.907882365875
"1724","urban2","Suburban","Suburban",106.095396874144,0,Inf,103.676084737966,108.54261206851
"1725","urban2","Urban","Urban",92.5123626321937,0,Inf,89.8110343922532,95.2537163153193
"1726","urban2","Natural","Natural",128.584686898036,0,Inf,127.189957533377,129.987021725175
"1727","urban2","Suburban","Suburban",106.649562975509,0,Inf,104.259374885819,109.066839450391
"1728","urban2","Urban","Urban",94.0831232924831,0,Inf,91.2684826084237,96.9405079220457
"1729","urban2","Natural","Natural",128.517352564996,0,Inf,127.117103062685,129.925272055968
"1730","urban2","Suburban","Suburban",106.753238907007,0,Inf,104.344099526026,109.18987338383
"1731","urban2","Urban","Urban",92.8123153179976,0,Inf,89.9899358952601,95.6782735278161
"1732","urban2","Natural","Natural",129.139910624771,0,Inf,127.739513597781,130.547942075618
